Agent Name,Phone,Email,Address,ID,Submission Year,Submission Year File Number
 OLDE MONMOUTH STOCK TRANSFER, 132-872-2727, matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2022,1
 Issuer Direct Corporation, 919-744-2722, Dominick.DalPizzol@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",AHFI,2021,2
 Issuer Direct Corporation, 919-744-2722, Dominick.DalPizzol@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",AHFI,2021,3
 Issuer Direct Corporation, 919-744-2722, Dominick.DalPizzol@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",AHFI,2022,1
 Issuer Direct Corporation, 919-744-2722, info@issuerdirect.com,,ALSI,2021,1
 Issuer Direct Corporation, 919-744-2722, info@issuerdirect.com,,ALSI,2021,2
 Issuer Direct Corporation, 919-744-2722, info@issuerdirect.com,,ALSI,2021,3
 Issuer Direct Corporation, 919-744-2722, info@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",ALSI,2022,1
" VStock Transfer, LLC", (212) 828-8436, pasquale@vstocktransfer.com," 18 Lafayette Place, Woodmere, New York 11598",ALTB,2023,1
" VStock Transfer, LLC", (212) 828-8436, pasquale@vstocktransfer.com," 18 Lafayette Place, Woodmere, New York 11598",ALTB,2023,2
" Worldwide Stock Transfer, LLC", 201-820-2010, info@wwstr.com," One University Plaza, Suite 505, Hackensack, NJ 07601",AMFL,2022,1
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,1
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,2
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,3
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,4
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12 Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,7
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,8
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,9
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,11
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,12
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2022,1
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2022,2
 ZIONS BANK, 888-416-5176, Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12“ Floor, Salt Lake City, Utah, 84133-3196",AMXX,2022,3
 Pacific Stock Transfer,  800- 785-7782, info @ pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,1
 Pacific Stock Transfer,  800- 785-7782, info @ pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,2
 Pacific Stock Transfer,  800- 785-7782, info @ pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,3
 Pacific Stock Transfer,  800- 785-7782, info @ pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,4
 Pacific Stock Transfer Agent, (800) 785-7782, info @pacificstocktransfer.com, 6725 Via Austi Parkway,APTY,2021,1
 Pacific Stock Transfer Agent, (800) 785-7782, info@pacificstocktransfer.com, 6725 Via Austi Parkway,APTY,2021,2
 Pacific Stock Transfer Agent, (800) 785-7782, info @pacificstocktransfer.com, 6725 Via Austi Parkway,APTY,2021,3
,,,,APTY,2022,2
" Pacific Stock Transfer, Inc.", 702-361-3033, info@pacificstocktransfer.com, 6725 Via Austi Parkway,AQUI,2021,1
" Pacific Stock Transfer, Inc.", 702-361-3033, info@pacificstocktransfer.com, 6725 Via Austi Parkway,AQUI,2021,3
" Pacific Stock Transfer, Inc.", 702-361-3033, info@pacificstocktransfer.com, 6725 Via Austi Parkway,AQUI,2022,1
 Pacific Stock Transfer, 1 702-361-3033, Paul acificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2021,1
 Pacific Stock Transfer, 1 702-361-3033, Paul acificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2021,2
 Pacific Stock Transfer, 1 702-361-3033, DanielleC@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2022,1
 Pacific Stock Transfer, 1 702-361-3033, DanielleC@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2022,2
 American Stock Transfer, 800-937 5449, astfinancial.com, 6201 15% Ave.,ASTO,2021,3
 American Stock Transfer, 800-937 5449, astfinancial.com, 6201 15% Ave.,ASTO,2021,5
 Pacific Stock Transfer Company, 800-785-7782, bmiller@pacificstocktransfer.com,"__6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",ATHC,2021,1
 Pacific Stock Transfer Company, 800-785-7782, bmiller@pacificstocktransfer.com,"__6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",ATHC,2021,2
 Pacific Stock Transfer Company, 702.361.3033, miller ificstocktransfer.com," 404 th nser Street, Las V Nev 119 — Suite 4",ATHC,2022,1
" VStock Transfer, LLC", 212-828-8436, kafel@vstocktransfer.com,,ATIG,2021,1
 Vstock Transfer, 212-828-8436, kafel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2021,3
 Vstock Transfer, 212-828-8436, kafel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2021,4
" VStock Transfer, LLC", 212-828-8436, yoel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2022,1
" VStock Transfer, LLC", 212-828-8436, yoel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2022,2
" VStock Transfer, LLC", 212-828-8436, yoel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2022,3
 Transfer Online Inc., (503) 277 2950, info@transferonline.com," 512 SE Salmon Street, 2"" floor, Portland OR. 97214-3444",ATOR,2021,1
 Transfer Online Inc., (503) 277 2950, info@transferonline.com," 512 SE Salmon Street, 2"" floor, Portland OR. 97214-3444",ATOR,2021,2
 Transfer Online Inc., (503) 277 2950, info@transferonline.com," 512 SE Salmon Street, 2"" floor, Portland OR. 97214-3444",ATOR,2022,1
" American Stock Transfer & Trust Company, LLC", 718-921-8300 x6464, CLeibell@ astfinancial.com," 6201 15"" Avenue, Brooklyn, NY 11219",AVOA,2022,1
" American Stock Transfer & Trust Company, LLC", 718-921-8300 x6464, CLeibell@ astfinancial.com," 6201 15' Avenue, Brooklyn, NY 11219",AVOA,2023,2
 Action Stock Transfer Corporation, (801) 274-1088, info@actionstocktrasnfer.com," 2469 East Fort Union Boulevard, Suite 214",AWON,2021,2
 Action Stock Transfer Corporation, (801) 274-1088, info@actionstocktrasnfer.com," 2469 East Fort Union Boulevard, Suite 214",AWON,2022,1
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 North Dallas Parkway, Suite 380, Plano, Texas 75093",AWON,2023,2
 securities Transfer Corporation, (469) 633-0101, info@sictransfer.com," 2901 North Dallas Parkway, Suite 380",AWON,2023,3
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,1
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,2
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,3
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,4
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,5
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,6
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,7
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,8
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,9
 Transhare Corporation, 303-662-1112, kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2022,1
 Standard Registrar and Transfer Company, 801-571-8844, amy @standardregistrar.com," 440 East 400 South, Suite 200 Salt Lake City, UT 84111",BANI,2022,2
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,2
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,5
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,6
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,8
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,1
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,2
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,4
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,5
" Signature Stock Transfer, Inc.", 972-612-4120, info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,6
 Transhare Corporation,  +1(303) 662-1112, info@transhare.com," Bayside Center 1- 17755 US Highway 19 N, Suite 140. Clearwater FL 33764",BCDS,2022,1
 Transhare Corporation, +1(303) 662-1112, info@transhare.com," Bayside Center 1- 17755 US Highway 19 N, Suite 140. Clearwater FL 33764",BCDS,2022,2
 Transhare Corporation, +1(303) 662-1112, info@transhare.com," Bayside Center 1- 17755 US Highway 19 N, Suite 140. Clearwater FL 33764",BCDS,2023,1
" American Stock Transfer & Trust Company, LLC", (800) 937-5449, help@astfinancial.com, 6201 15° Ave,BCII,2022,1
" American Stock Transfer & Trust Company, LLC", (800) 937-5449, help@astfinancial.com, 6201 15° Ave,BCII,2022,2
 Signature Stock Transfer, 972-612-4120, info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2021,1
 Signature Stock Transfer, 972-612-4120, info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2021,2
 Signature Stock Transfer, 972-612-4120, info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2022,1
 Signature Stock Transfer, 972-612-4120, info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2022,2
 Signature Stock Transfer, 972-612-4120, info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2023,1
 Signature Stock Transfer, 972-612-4120, info @signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2023,2
 Pacific Stock Transfer, (800) 785-7782, Joslyn acificstocktransfer.com," 6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",BFCH,2023,1
 Action Stock Transfer, 1)274-1, jo@actionstocktransfer.com," 2469 E. Ft. Union Blvd, #214, Salt Lake, City, UT, 84121",BHLD,2021,1
 Action Stock Transfer, 1)274-1, jo@actionstocktransfer.com," 2469 E. Ft. Union Blvd, #214, Salt Lake, City, UT, 84121",BHLD,2021,2
 Action Stock Transfer, (801)274-1088, jb@actionstocktransfer.com," 2469 E. Ft. Union Blvd, #214, Salt Lake, City, UT, 84121",BHLD,2022,4
 Issuer Direct Corporation, 919-744-2722, info@issuerdirect.com," One Glenwood Avenue, Suite 1001, Releigh, NC 27603",BICB,2021,1
 Action Stock Transfer, 801-274-1088, jo(@actionstocktransfer.com," 2469 E. Ft. Union Blvd, Salt Lake, Ut. 84121",BICB,2022,1
 Action Stock Transfer, 801-274-1088, jo(@actionstocktransfer.com," 2469 E. Ft. Union Blvd, Salt Lake, Ut. 84121",BICB,2022,2
 Issuer Direct Corporation, 919-744-2722, info@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",BICB,2022,3
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 N Dallas Parkway, Suite 380, Plano, Texas 75093",BICB,2023,1
 Issuer Direct, (919) 481-4000, info @issuerdirect.com," One Glenwood Ave., Suite 1001, Raleigh, NC_ 27603",BIEI,2021,1
 Pacific Stock Transfer Co, (702) 361-3033, info@ pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300 Las Vegas NV 89119",BIMO,2021,1
 Pacific Stock Transfer Co, (702) 361-3033, info@ pacificstocktransfer.com," 6725 Via Austi Parkway, Suit 300 Las Vegas NV 89119",BIMO,2021,3
 Pacific Stock Transfer Co., (702) 361-3033, info@ pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas NV 89119",BIMO,2021,5
 Pacific Stock Transfer Company, (702) 361-3033, info@ pacificstocktransfer.com," 6725-Via Austi Parkway, Suite 300, Las Vegas, NV 89119",BIMO,2022,2
 Pacific Stock Transfer, 702-361-3033, Paul@pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",BORK,2021,2
,,,,BORK,2021,5
 Pacific Stock Transfer, 702-361-3033, Paul@pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",BORK,2022,2
 Pacific Stock Transfer Co., 800-785-7782, info@pacificstocktransfer.com, 6725 Via Austi Parkway #300,BRNE,2021,1
 Pacific Stock Transfer Co., 800-785-7782, info@pacificstocktransfer.com, 6725 Via Austi Parkway #300,BRNE,2021,2
 Pacific Stock Transfer Co., 800-785-7782, info@pacificstocktransfer.com, 6725 Via Austi Parkway #300,BRNE,2021,3
 Pacific Stock Transfer Co., 800-785-7782, info@pacificstocktransfer.com, 6725 Via Austi Parkway #300,BRNE,2021,4
 Pacific Stock Transfer Co., 800-785-7782, info@pacificstocktransfer.com, 6725 Via Austi Parkway #300,BRNE,2022,1
 Pacific Stock Transfer, 702-361-3033, billymiller@ pacificstocktransfer.com, 6725 Via Austi Parkway S300 LAS Vegas NV 89119,BSTK,2022,1
 Pacific Stock Transfer, 702-361-3033, billymiller@ pacificstocktransfer.com, 6725 Via Ausi Parkway S300 LAS VEGAS NV 89119,BSTK,2023,1
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,1
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,2
" Globex Transfer, LLC.", (813) 344-4464, mt@ globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,3
" Globex Transfer, LLC.", (813) 344-4464, mt@ globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,4
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,5
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,6
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,7
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,8
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2021,9
 Nevada Agency and Transfer Company, (775) 322 0626, info@natco.com," 50 West Liberty Street, Suite 880, Reno NV 89501",BWPC,2022,1
 Nevada Agency and Transfer Company, (775) 322 0626, info@natco.com," 50 West Liberty Street, Suite 880, Reno NV 89501",BWPC,2022,2
" Globex Transfer, LLC.", (813) 344-4464, mt@globextransfer.com," 780 Deltona Blvd, Suite 202, Deltona, FL 32725",BWPC,2022,3
 Nevada Agency and Transfer Company, (775) 322 0626, info@natco.com," 50 West Liberty Street, Suite 880, Reno NV 89501",BWPC,2023,1
 Securities Transfer Corporation, 1-469-633-0101, jstackhouse@stctransfer.com," 2901 N. Dallas Parkway Suite 380, Plano, Texas 75093",BXLC,2021,1
 Securities Transfer Corporation, 1-469-633-0101, jstackhouse@stctransfer.com," 2901 N. Dallas Parkway Suite 380, Plano, Texas 75093",BXLC,2022,1
" Standard Registrar & Transfer Company, Inc.", 801.571.8844, amy @standardregistrar.com," 12528 South 1840 East, Draper UT 84020",CAFS,2021,1
" Standard Registrar & Transfer Company, Inc.", 801.571.8844, amy @standardregistrar.com," 12528 South 1840 East, Draper UT 84020",CAFS,2021,2
" Standard Registrar & Transfer Company, Inc.", 801.571.8844, amy @standardregistrar.com," 12528 South 1840 East, Draper UT 84020",CAFS,2022,1
 Pacific Stock Transfer Company, 702-361-3033 x148, paul @pacificstocktransfer.com," 6725 Via Austi Pkwy., Suite 300, Las Vegas, NV 89119",CAPV,2021,1
 Pacific Stock Transfer Company, 702-361-3033 x148, paul @pacificstocktransfer.com," 6725 Via Austi Pkwy., Suite 300, Las Vegas, NV 89119",CAPV,2021,2
 Pacific Stock Transfer Company, 702-361-3033 x148, paul @pacificstocktransfer.com," 6725 Via Austi Pkwy., Suite 300, Las Vegas, NV 89119",CAPV,2022,1
 Action Stock Transfer, 801-274-1088, action@actionstocktransfer.com, 2469 E. Fort Union Blvd,CBDG,2021,2
 Pacific Stock Transfer Co., (800) 785-7782, awalker@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas Nevada 89119",CBIA,2021,1
 Pacific Stock Transfer Co., (800) 785-7782, awalker@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas Nevada 89119",CBIA,2021,2
 Pacific Stock Transfer Co., (800) 785-7782, awalker@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas Nevada 89119",CBIA,2022,2
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 N. Dallas Parkway, Suite 380, Plano, Texas 75093",CDNO,2021,1
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 N. Dallas Parkway, Suite 380, Plano, Texas 75093",CDNO,2021,2
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 N. Dallas Parkway, Suite 380, Plano, Texas 75093",CDNO,2022,1
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 N. Dallas Parkway, Suite 380, Plano, Texas 75093",CDNO,2022,2
 Securities Transfer Corporation, 469-633-0101, info@stctransfer.com," 2901 N. Dallas Parkway, Suite 380, Plano, Texas 75093",CDNO,2022,3
 EQ Shareowner Services, 651-306-2904, chad.dalton@equiniti.com," 1110 Centre Pointe Curve, Suite 101",CDSG,2021,1
 EQ Shareowner Services, 651-306-2904, chad.dalton@equiniti.com," 1110 Centre Pointe Curve, Suite 101",CDSG,2021,2
 EQ Shareowner Services, 651-306-2904, chad.dalton@equiniti.com," 1110 Centre Pointe Curve, Suite 101",CDSG,2021,3
 EQ Shareowner Services, 651-306-2904, chad.dalton@equiniti.com," 1110 Centre Pointe Curve, Suite 101",CDSG,2021,4
 Olde Monmouth Stock Transfer, 732 872-2727, matt@oldemonmouth.com, 200 Memorial Parkway,CDSG,2022,1
 Olde Monmouth Stock Transfer, 732 872-2727, matt@oldemonmouth.com, 200 Memorial Parkway,CDSG,2022,2
 Securities Transfer Corporation, (469) 633-0101, Inobel@stctransfer.com," Suite 380, 2901 N. Dallas Parkway",CHYI,2022,1
" Transfer Online, Inc.", +1-503.227.2950, | daniel@transferonline.com," 512 SE Salmon St., Portland, OR 97214",CIVX,2023,1
" Transfer Online, Inc.", +1-503.227.2950, | daniel@transferonline.com," 512 SE Salmon St., Portland, OR 97214",CIVX,2023,2
 Action Stock Transfer Company, (801) 274-1088, action @ actionstocktransfer.com," 2469 E. Fort Union Blvd, Ste. 214, Salt Lake City, UT 84121",CLPE,2021,1
 Action Stock Transfer Company, (801) 274-1088, action @ actionstocktransfer.com," 2469 E. Fort Union Blvd, Ste. 214, Salt Lake City, UT 84121",CLPE,2021,2
 Pacific Stock Transfer Company, (800) 785-7782, info@pacificstocktransfer.com," 725 Via Austi Pkwy Suite 300, Las Vegas, NV 89119",CMOT,2021,1
 Pacific Stock Transfer Company, (800) 785-7782, info@pacificstocktransfer.com," 6725 Via Austi Pkwy Suite 300, Las Vegas, NV 89119",CMOT,2022,1
 Action Stock Transfer Corporation, (801) 274-1088, action@actionstocktransfer.com," 2469 E. Fort Union Blvd, Suite 214, Salt Lake City, UT 84121",CMPY,2021,1
 Action Stock Transfer Corporation, (801) 274-1088, action@actionstocktransfer.com," 2469 E. Fort Union Blvd, Suite 214, Salt Lake City, UT 84121",CMPY,2022,1
 V Stock Transfer LLC, 212.828.8436, info@vstocktransfer.com," 18 Lafayette Place Woodmere, NY 11598",CNCT,2021,1
 V Stock Transfer LLC, 212.828.8436, info@vstocktransfer.com," 18 Lafayette Place Woodmere, NY 11598",CNCT,2022,1
 Equiniti Trust Company, (303) 282-4800, info @equiniti.com," 275 Madison Avenue, 34"" Floor, New York, NY 10016",CNGI,2021,1
 Equiniti Trust Company, (303) 282-4800, info@equiniti.com," 275 Madison Avenue, 34*"" Floor, New York, NY 10016",CNGI,2022,1
 Securities Transfer Corporation, (469) 633-0101, info @stctransfer.com," 2901 Dallas Parkway, Suite 380, Dallas, TX 75093",COFE,2023,1
,,,,CPWY,2021,1
 Pacific Stock Transfer Company, 702-361-3033, info@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",CPWY,2022,1
" Signature Stock Transfer, Inc.", (972) 612-4120,," 14673 Midway Road, Suite #220",CRFU,2021,1
" Signature Stock Transfer, Inc.", (972) 612-4120, info@signaturestocktransfer.com," 14673 Midway Road, Suite #220",CRFU,2022,1
" OTR, Inc.", 503-225-0375, bonnie@otrtransfer.com," 1050 SW 6"" Ave, #1230, Portland, OR 97204",CRMK,2021,3
" Globex Transfer, LLC", 813-344-4490, er@globextransfer.com," 780 Deltona Blvd,. Ste 202, Deltona, FL 32725",CRSQ,2021,3
