ID,Financial Statements Done,Reporting Year,Submission Year,Report Submission Title,Submission Year File Number,Date,Link,pdf_file,Company Name,text_file,Securities Done,Insiders Done,Third Party Providers Done,Trading Agents Done,Reporting Year/Period,Transfer Agents Done
ACMTA,0,1848,2017,Annual Report - ACMAT 2016 Annual Report,1,05/09/2017,https://www.otcmarkets.com/otcapi/company/financial-report/171516/content,ACMTA_2017_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2017_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2018,Annual Report - ACMAT 2017 Annual Report,1,04/25/2018,https://www.otcmarkets.com/otcapi/company/financial-report/191674/content,ACMTA_2018_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2018_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2019,Annual Report - ACMAT Corporation and Subsidiaries 2018 Annual Report,1,06/03/2019,https://www.otcmarkets.com/otcapi/company/financial-report/222623/content,ACMTA_2019_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2019_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2020,Annual Report - ACMAT Corporation 2019 Annual Report,1,05/01/2020,https://www.otcmarkets.com/otcapi/company/financial-report/245299/content,ACMTA_2020_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2020_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2021,"Annual Report - Annual Disclosure Statement - December 31, 2020",1,07/19/2021,https://www.otcmarkets.com/otcapi/company/financial-report/291823/content,ACMTA_2021_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2021_Annual_1.txt,0,0,-3,0,"<regex.Match object; span=(250, 268), match=' December 31, 2020'>",
ACMTA,0,1848,2021,Annual Report - ACMAT Corporation 2020 Annual Report,2,04/27/2021,https://www.otcmarkets.com/otcapi/company/financial-report/280265/content,ACMTA_2021_Annual_2.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2021_Annual_2.txt,0,0,-1,0,-1,
ACMTA,0,1848,2022,Annual Report - ACMAT Corporation 2021 Annual Report (OTC Annual Disclosure Statement),1,03/15/2022,https://www.otcmarkets.com/otcapi/company/financial-report/323573/content,ACMTA_2022_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2022_Annual_1.txt,1,0,-3,0,"<regex.Match object; span=(250, 268), match=' December 31, 2021'>",1.0
ACMTA,0,1848,2023,Annual Report - ACMAT Corporation 2022 Annual Report (OTC Annual Disclosure Statement),1,03/17/2023,https://www.otcmarkets.com/otcapi/company/financial-report/361893/content,ACMTA_2023_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2023_Annual_1.txt,1,0,-3,0,"<regex.Match object; span=(250, 268), match=' December 31, 2022'>",1.0
ADMG,0,1848,2015,Annual Report - Annual Report,1,04/16/2015,https://www.otcmarkets.com/otcapi/company/financial-report/136033/content,ADMG_2015_Annual_1.pdf,"220    ADAMANT DRI PRCNG &MNRLS
Name: 4, dtype: object",ADMG_2015_Annual_1.txt,0,0,-1,0,-1,
ADMG,0,1848,2017,Annual Report - Annual Report,1,05/01/2017,https://www.otcmarkets.com/otcapi/company/financial-report/170912/content,ADMG_2017_Annual_1.pdf,"220    ADAMANT DRI PRCNG &MNRLS
Name: 4, dtype: object",ADMG_2017_Annual_1.txt,0,0,-1,0,-1,
AFNL,0,1848,2021,Annual Report - AmFin Financial Corporation Financial Statements,1,09/08/2021,https://www.otcmarkets.com/otcapi/company/financial-report/301286/content,AFNL_2021_Annual_1.pdf,"313    AMFIN FINANCIAL CORP
Name: 4, dtype: object",AFNL_2021_Annual_1.txt,0,0,-1,0,-1,
AFNL,0,1848,2022,Annual Report - AmFin Financial Corporation Financial Statements 9/30/21,1,02/05/2022,https://www.otcmarkets.com/otcapi/company/financial-report/319455/content,AFNL_2022_Annual_1.pdf,"313    AMFIN FINANCIAL CORP
Name: 4, dtype: object",AFNL_2022_Annual_1.txt,0,0,-1,0,-1,
AFNL,0,1848,2022,Annual Report - AmFin Financial Stmt - Reviewed 9-30-21,2,01/20/2022,https://www.otcmarkets.com/otcapi/company/financial-report/317912/content,AFNL_2022_Annual_2.pdf,"313    AMFIN FINANCIAL CORP
Name: 4, dtype: object",AFNL_2022_Annual_2.txt,0,0,-1,0,-1,
AFNL,0,1848,2023,Annual Report - AmFin Financial Corporation Financial Statements at 9/30/2022,1,01/31/2023,https://www.otcmarkets.com/otcapi/company/financial-report/358152/content,AFNL_2023_Annual_1.pdf,"313    AMFIN FINANCIAL CORP
Name: 4, dtype: object",AFNL_2023_Annual_1.txt,0,0,-1,0,-1,
AFOM,0,1848,2014,Annual Report - Annual Report,1,12/30/2014,https://www.otcmarkets.com/otcapi/company/financial-report/131256/content,AFOM_2014_Annual_1.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2014_Annual_1.txt,0,0,-1,0,-1,
AFOM,0,1848,2014,Annual Report - Annual Report,2,03/12/2014,https://www.otcmarkets.com/otcapi/company/financial-report/117195/content,AFOM_2014_Annual_2.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2014_Annual_2.txt,0,0,-1,0,-1,
AFOM,0,1848,2014,Annual Report - Annual Report,3,03/12/2014,https://www.otcmarkets.com/otcapi/company/financial-report/117194/content,AFOM_2014_Annual_3.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2014_Annual_3.txt,0,0,-1,0,-1,
AFOM,0,1848,2014,Annual Report - Annual Report,4,03/12/2014,https://www.otcmarkets.com/otcapi/company/financial-report/117193/content,AFOM_2014_Annual_4.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2014_Annual_4.txt,0,0,-1,0,-1,
AFOM,0,1848,2015,Supplemental Information - Annual Report,1,12/29/2015,https://www.otcmarkets.com/otcapi/company/financial-report/149193/content,AFOM_2015_Annual_1.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2015_Annual_1.txt,0,0,-1,0,-1,
AFOM,0,1848,2015,Annual Report - Annual Report,2,12/29/2015,https://www.otcmarkets.com/otcapi/company/financial-report/149191/content,AFOM_2015_Annual_2.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2015_Annual_2.txt,0,0,-1,0,-1,
AFOM,0,1848,2016,Annual Report - All For One Media Fiscal Year 2016 Unaudited Financial Results,1,12/29/2016,https://www.otcmarkets.com/otcapi/company/financial-report/164575/content,AFOM_2016_Annual_1.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2016_Annual_1.txt,0,0,-1,0,-1,
AFOM,0,1848,2019,Annual Report - ALL FOR ONE MEDIA CORP. 10K,1,02/15/2019,https://www.otcmarkets.com/otcapi/company/financial-report/212026/content,AFOM_2019_Annual_1.pdf,"149    ALL FOR ONE MEDIA CORP
Name: 4, dtype: object",AFOM_2019_Annual_1.txt,0,0,-1,0,-1,
AFTC,0,1848,2009,Annual Report - Annual Report,1,03/29/2009,https://www.otcmarkets.com/otcapi/company/financial-report/20101/content,AFTC_2009_Annual_1.pdf,"94    ALTERNATIVE FUEL TECHS
Name: 4, dtype: object",AFTC_2009_Annual_1.txt,0,0,-1,0,-1,
AFTC,0,1848,2009,Annual Report - Annual Report,2,03/16/2009,https://www.otcmarkets.com/otcapi/company/financial-report/19906/content,AFTC_2009_Annual_2.pdf,"94    ALTERNATIVE FUEL TECHS
Name: 4, dtype: object",AFTC_2009_Annual_2.txt,0,0,-1,0,-1,
AFTC,0,1848,2010,Annual Report - 4th quarter 2009 and 2009 annual report,1,05/03/2010,https://www.otcmarkets.com/otcapi/company/financial-report/31533/content,AFTC_2010_Annual_1.pdf,"94    ALTERNATIVE FUEL TECHS
Name: 4, dtype: object",AFTC_2010_Annual_1.txt,0,0,-1,0,-1,
AFTC,0,1848,2011,"Annual Report - Balance sheet, P&L, Cash Flow",1,02/21/2011,https://www.otcmarkets.com/otcapi/company/financial-report/44318/content,AFTC_2011_Annual_1.pdf,"94    ALTERNATIVE FUEL TECHS
Name: 4, dtype: object",AFTC_2011_Annual_1.txt,0,0,-1,0,-1,
AFTC,0,1848,2022,Annual Report - Annual Report & Disclosure Statement,1,05/02/2022,https://www.otcmarkets.com/otcapi/company/financial-report/330767/content,AFTC_2022_Annual_1.pdf,"94    ALTERNATIVE FUEL TECHS
Name: 4, dtype: object",AFTC_2022_Annual_1.txt,1,0,-5,0,"<regex.Match object; span=(198, 216), match=' December 31, 2021'>",1.0
AFTC,0,1848,2022,Annual Report - Annual Report & Disclosure Statement,2,05/02/2022,https://www.otcmarkets.com/otcapi/company/financial-report/330764/content,AFTC_2022_Annual_2.pdf,"94    ALTERNATIVE FUEL TECHS
Name: 4, dtype: object",AFTC_2022_Annual_2.txt,1,0,-5,0,"<regex.Match object; span=(198, 216), match=' December 31, 2020'>",1.0
AGDY,0,1848,2013,Annual Report - annual report june 30 2013,1,12/24/2013,https://www.otcmarkets.com/otcapi/company/financial-report/115075/content,AGDY_2013_Annual_1.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2013_Annual_1.txt,0,0,-1,0,-1,
AGDY,0,1848,2013,Annual Report - ANNUAL REPORT 2012 REVISED,2,12/24/2013,https://www.otcmarkets.com/otcapi/company/financial-report/113743/content,AGDY_2013_Annual_2.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2013_Annual_2.txt,0,0,-1,0,-1,
AGDY,0,1848,2013,Annual Report - Annual Report Revised 2011,3,11/19/2013,https://www.otcmarkets.com/otcapi/company/financial-report/113739/content,AGDY_2013_Annual_3.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2013_Annual_3.txt,0,0,-1,0,-1,
AGDY,0,1848,2021,"Attorney Letter with Respect to Current Information - Attorney Letter for Annual Reports June 30, 2021 and 2020",1,09/17/2021,https://www.otcmarkets.com/otcapi/company/financial-report/302844/content,AGDY_2021_Annual_1.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2021_Annual_1.txt,0,0,-1,0,-1,
AGDY,0,1848,2021,Annual Report - Disclosure Statement,2,09/17/2021,https://www.otcmarkets.com/otcapi/company/financial-report/302840/content,AGDY_2021_Annual_2.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2021_Annual_2.txt,1,0,-5,0,"<regex.Match object; span=(251, 251), match=''>",1.0
AGDY,0,1848,2021,"Annual Report - Consolidated Financial Statements June 30, 2021 and 2020",3,09/17/2021,https://www.otcmarkets.com/otcapi/company/financial-report/302838/content,AGDY_2021_Annual_3.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2021_Annual_3.txt,0,0,-1,0,-1,
AGDY,0,1848,2022,Attorney Letter with Respect to Current Information - Annual Report,1,09/29/2022,https://www.otcmarkets.com/otcapi/company/financial-report/347941/content,AGDY_2022_Annual_1.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2022_Annual_1.txt,0,0,-1,0,-1,
AGDY,0,1848,2022,Annual Report - Disclosure Statement,2,09/21/2022,https://www.otcmarkets.com/otcapi/company/financial-report/347238/content,AGDY_2022_Annual_2.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2022_Annual_2.txt,1,0,-5,0,"<regex.Match object; span=(251, 251), match=''>",1.0
AGDY,0,1848,2022,Annual Report - Consolidated Financial Statements,3,09/21/2022,https://www.otcmarkets.com/otcapi/company/financial-report/347237/content,AGDY_2022_Annual_3.pdf,"512    AGRI-DYNAMICS INC
Name: 4, dtype: object",AGDY_2022_Annual_3.txt,0,0,-1,0,-1,
AGGI,0,1848,2006,Annual Report - Annual Report,1,11/28/2006,https://www.otcmarkets.com/otcapi/company/financial-report/9457/content,AGGI_2006_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2006_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2007,Semi-Annual Report - Semi-Annual Report,1,10/25/2007,https://www.otcmarkets.com/otcapi/company/financial-report/12197/content,AGGI_2007_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2007_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2007,Annual Report - Annual Report,2,07/06/2007,https://www.otcmarkets.com/otcapi/company/financial-report/11107/content,AGGI_2007_Annual_2.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2007_Annual_2.txt,0,0,-1,0,-1,
AGGI,0,1848,2008,Semi-Annual Report - Unverified,1,07/23/2008,https://www.otcmarkets.com/otcapi/company/financial-report/16344/content,AGGI_2008_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2008_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2008,Annual Report - Annual Report,2,04/01/2008,https://www.otcmarkets.com/otcapi/company/financial-report/14200/content,AGGI_2008_Annual_2.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2008_Annual_2.txt,0,0,-1,0,-1,
AGGI,0,1848,2009,Annual Report - 2008 Audited Financials,1,05/05/2009,https://www.otcmarkets.com/otcapi/company/financial-report/20927/content,AGGI_2009_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2009_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2010,Annual Report - 2009 Audited Year End Financial Report,1,07/01/2010,https://www.otcmarkets.com/otcapi/company/financial-report/33547/content,AGGI_2010_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2010_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2010,Annual Report - Preliminary Unaudited Year End Financials,2,04/13/2010,https://www.otcmarkets.com/otcapi/company/financial-report/30839/content,AGGI_2010_Annual_2.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2010_Annual_2.txt,0,0,-1,0,-1,
AGGI,0,1848,2011,Annual Report - 2010 Year End Financial Report,1,04/20/2011,https://www.otcmarkets.com/otcapi/company/financial-report/48145/content,AGGI_2011_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2011_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2013,Annual Report - 2012 Consolidated Financials Statements and Notes (Unaudited),1,10/15/2013,https://www.otcmarkets.com/otcapi/company/financial-report/111947/content,AGGI_2013_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2013_Annual_1.txt,0,0,-1,0,-1,
AGGI,0,1848,2013,Annual Report - 2011 Consolidated Financials Unaudited,2,10/04/2013,https://www.otcmarkets.com/otcapi/company/financial-report/111688/content,AGGI_2013_Annual_2.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2013_Annual_2.txt,0,0,-1,0,-1,
AGGI,0,1848,2021,Annual Report - Amended 2020 annual report,1,12/17/2021,https://www.otcmarkets.com/otcapi/company/financial-report/315857/content,AGGI_2021_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2021_Annual_1.txt,1,0,-5,0,"<regex.Match object; span=(232, 250), match=' December 31, 2020'>",1.0
AGGI,0,1848,2021,Annual Report - Amended 2019annual Report,2,12/17/2021,https://www.otcmarkets.com/otcapi/company/financial-report/315856/content,AGGI_2021_Annual_2.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2021_Annual_2.txt,1,0,1,0,"<regex.Match object; span=(233, 251), match=' December 31, 2019'>",1.0
AGGI,0,1848,2021,Annual Report - 2020 annual,3,08/31/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300045/content,AGGI_2021_Annual_3.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2021_Annual_3.txt,1,0,-5,0,"<regex.Match object; span=(233, 251), match=' December 31, 2020'>",1.0
AGGI,0,1848,2021,Annual Report - 2009annual,4,08/27/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299078/content,AGGI_2021_Annual_4.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2021_Annual_4.txt,1,0,-5,0,"<regex.Match object; span=(233, 251), match=' December 31, 2019'>",1.0
AGGI,0,1848,2022,Annual Report - 2021 Annual report,1,04/27/2022,https://www.otcmarkets.com/otcapi/company/financial-report/329398/content,AGGI_2022_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2022_Annual_1.txt,1,0,-5,0,"<regex.Match object; span=(236, 253), match='December 31, 2021'>",1.0
AGGI,0,1848,2023,Annual Report - Annual Report,1,02/14/2023,https://www.otcmarkets.com/otcapi/company/financial-report/359076/content,AGGI_2023_Annual_1.pdf,"66    ALLIED ENERGY INC
Name: 4, dtype: object",AGGI_2023_Annual_1.txt,0,0,1,0,"<regex.Match object; span=(236, 254), match=' December 31, 2022'>",
AGIN,0,1848,2021,"Annual Report - June 30, 2021 and 2020 Annual Disclosure with Financial Statements",1,09/16/2021,https://www.otcmarkets.com/otcapi/company/financial-report/302673/content,AGIN_2021_Annual_1.pdf,"243    AMERICAN GRAPHITE TECHS
Name: 4, dtype: object",AGIN_2021_Annual_1.txt,1,0,-5,0,"<regex.Match object; span=(266, 288), match=' June 30 2021 and 2020'>",1.0
AGIN,0,1848,2021,"Annual Report - June 30, 2020 Annual Financial Statements",2,09/16/2021,https://www.otcmarkets.com/otcapi/company/financial-report/302659/content,AGIN_2021_Annual_2.pdf,"243    AMERICAN GRAPHITE TECHS
Name: 4, dtype: object",AGIN_2021_Annual_2.txt,0,0,-1,0,-1,
AGIN,0,1848,2022,"Annual Report - June 30, 2022 Annual Information and Disclosure with Financial Statements",1,09/27/2022,https://www.otcmarkets.com/otcapi/company/financial-report/347646/content,AGIN_2022_Annual_1.pdf,"243    AMERICAN GRAPHITE TECHS
Name: 4, dtype: object",AGIN_2022_Annual_1.txt,1,0,-5,0,"<regex.Match object; span=(268, 282), match=' June 30, 2022'>",1.0
AHELF,0,1848,2018,"Annual Report - Annual Financials for June 30, 2018",1,10/29/2018,https://www.otcmarkets.com/otcapi/company/financial-report/205197/content,AHELF_2018_Annual_1.pdf,"449    AMERICAN HELIUM INC
Name: 4, dtype: object",AHELF_2018_Annual_1.txt,0,0,-1,0,-1,
AHELF,0,1848,2019,"Annual Report - Annual Financials for year ended June 30, 2019",1,10/23/2019,https://www.otcmarkets.com/otcapi/company/financial-report/232389/content,AHELF_2019_Annual_1.pdf,"449    AMERICAN HELIUM INC
Name: 4, dtype: object",AHELF_2019_Annual_1.txt,0,0,-1,0,-1,
AHFD,0,1848,2021,"Annual Report - Amended Annual Report for the Year Ended December 31, 2019",1,10/21/2021,https://www.otcmarkets.com/otcapi/company/financial-report/307579/content,AHFD_2021_Annual_1.pdf,"321    ACTIVE HEALTH FOODS INC
Name: 4, dtype: object",AHFD_2021_Annual_1.txt,1,0,1,0,"<regex.Match object; span=(272, 283), match=' 12-31-2019'>",1.0
AHFD,0,1848,2021,"Annual Report - Amended Annual Report for the Year ended December 31, 2020",2,10/21/2021,https://www.otcmarkets.com/otcapi/company/financial-report/307578/content,AHFD_2021_Annual_2.pdf,"321    ACTIVE HEALTH FOODS INC
Name: 4, dtype: object",AHFD_2021_Annual_2.txt,1,0,-5,0,"<regex.Match object; span=(274, 285), match=' 12-31-2020'>",1.0
AHFD,0,1848,2021,"Annual Report - Annual Report for the Year Ending on December 31, 2020",3,09/13/2021,https://www.otcmarkets.com/otcapi/company/financial-report/301850/content,AHFD_2021_Annual_3.pdf,"321    ACTIVE HEALTH FOODS INC
Name: 4, dtype: object",AHFD_2021_Annual_3.txt,1,0,-5,0,"<regex.Match object; span=(260, 271), match=' 12-31-2020'>",1.0
