Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number
False, AGIN, - Common stock, 0001497316, $0.001," 200,000,000 "," September 15, 2021"," 165,083,348 "," September 15, 2021"," 58,348,446 "," September 15, 2021", 15 ," September 15, 2021",AGIN,2021,1
False, AGIN, - Common stock, 0001497316, $0.001," 200,000,000 "," September 23, 2022"," 165,083,348 "," September 23, 2022",," September 23, 2022",," September 23, 2022",AGIN,2022,1
False, AHFI, Common Stock, 00387N102, 0.001," 100,000,000 ", 12/31/2020," 64,111,021 ", 12/31/2020," 28,111,021 ", 12/31/2020, 190 , 12/31/2020,AHFI,2021,2
False, AHFI, Common Stock, 00387N102, 0.001," 100,000,000 ", 12/31/2019," 64,111,021 ", 12/31/2019," 28,111,021 ", 12/31/2019, 190 , 12/31/2019,AHFI,2021,3
False, AHFI, Common Stock, 00387N102, 0.001," 100,000,000 ", 12/31/2021," 64,111,021 ", 12/31/2021," 28,111,021 ", 12/31/2021, 190 , 12/31/2021,AHFI,2022,1
False, ALSI, Common, 04940M205, 0.0001," 200,000,000 "," March 31,2021"," 62,714,241 "," March 31,2021",," March 31,2021",," March 31,2021",ALSI,2021,1
False, ALSI, Common, 04940M205, 0.0001," 200,000,000 "," March 31, 2020"," 62,714,241 "," March 31, 2020",," March 31, 2020",," March 31, 2020",ALSI,2021,2
False, ALSI, Common, 04940M205, 0.0001," 200,000,000 "," March 31,2021"," 62,714,241 "," March 31,2021",," March 31,2021",," March 31,2021",ALSI,2021,3
False, ALSI, Common, 04940M205, 0.0001," 200,000,000 "," March 31, 2022"," 62,714,241 "," March 31, 2022"," 2,492,934 "," March 31, 2022", 191 ," March 31, 2022",ALSI,2022,1
True,,,,, ,," 62,714,241 ",,,,,,ALSI,2022,1
False, AMFL, © Common Stock, 026040105, $0.001," 100,000,000  "," September 30, 2022"," 69,314,425 "," September 30, 2022"," 34,725,704 "," September 30, 2022", 245 ," September 30, 2022",AMFL,2022,1
False, AMLH____, © Common, 2715M1, $0.0001_," 4,000,000,000_ ", 12/31/2020.," 3,662,639,902_  |§", 12/31/2020_," 3,662,639,902_ ", 12/31/202, (3 , 12/31/2020_,AMLH,2021,1
True, AMLH, Preferred A____, _, $10___," 5,000,000 ", 12/31/2020___," 3,662,639,902_  |§", 12/31/2020____,,,,,AMLH,2021,1
False, AMLH____, © Common, 2715M1, $0.0001_," 4,000,000,000_ ", 12/31/2019_," 3,662,639,902_ |§", 12/31/2019_," 3,662,639,902_ ", 12/31/201, 73 , 12/31/2019__,AMLH,2021,2
True, AMLH, Preferred A____, _, $10___," 5,000,000 ", 12/31/19___," 3,662,639,902_ |§", 12/31/19___,,,,,AMLH,2021,2
False, AMLH, © Common, 02715M103, $0.0001," 6,500,000,000 ", 12/31/21," 3,692,639,902 ", 12/31/21," 3,662,639,902 ", 12/31/21, 73 , 12/31/21,AMLH,2022,1
True, AMLH, Preferred A,, $10," 5,000,000 ", 12/31/21," 3,692,639,902 ", 12/31/21,,,,,AMLH,2022,1
False, AMLH, © Common, 02715M103, $0.0001," 6,500,000,000 ", 12/31/21," 3,692,639,902 ", 12/31/21," 3,662,639,902 ", 12/31/21, 73 , 12/31/21,AMLH,2022,2
True, AMLH, Preferred A,, $10," 5,000,000 ", 12/31/21," 3,692,639,902 ", 12/31/21,,,,,AMLH,2022,2
False, AMNC, Class A voting common stock, 03153A106, $.001," 22,000,000 "," December 31, 2019"," 12,844,839 "," December 31, 2019"," 1,268,079 "," December 31, 2019", 48 ," December 31, 2019",AMNC,2020,5
True, AMNCB, | Class B common stock, 03153A205, $.001," 500,000,000 "," December 31, 2019"," 12,844,839 "," December 31, 2019",,,,,AMNC,2020,5
False, AMNC, | Class A voting common stock, 03153A106, $.001," 22,000,000 "," December 31, 2020"," 12,844,839 "," December 31, 2020"," 1,268,079 "," December 31, 2020", 48 ," December 31, 2020",AMNC,2021,5
True, AMNCB, © Class Bcommon stock, 03153A205, $.001," 500,000,000 "," December 31, 2020"," 12,844,839 "," December 31, 2020",,,,,AMNC,2021,5
False, AMNC, | Class A voting common stock, 03153A106, $.001," 82,000,000 "," December 31, 2021"," 12,844,839 "," December 31, 2021"," 1,268,025 "," December 31, 2021", 50 ," December 31, 2021",AMNC,2022,7
True, AMNCB, © Class Bcommon stock, 03153A205, $.001," 500,000,000 "," December 31, 2021"," 12,844,839 "," December 31, 2021",,,,,AMNC,2022,7
False, AMNC, Class A voting common stock, 03153A106, $.001," 22,000,000 "," December 31, 2019"," 12,844,839 "," December 31, 2019"," 1,268,079 "," December 31, 2019", 48 ," December 31, 2019",AMNCB,2020,5
True, AMNCB, | Class B common stock, 03153A205, $.001," 500,000,000 "," December 31, 2019"," 12,844,839 "," December 31, 2019",,,,,AMNCB,2020,5
False, AMNC, | Class A voting common stock, 03153A106, $.001," 22,000,000 "," December 31, 2020"," 12,844,839 "," December 31, 2020"," 1,268,079 "," December 31, 2020", 48 ," December 31, 2020",AMNCB,2021,5
True, AMNCB, © Class Bcommon stock, 03153A205, $.001," 500,000,000 "," December 31, 2020"," 12,844,839 "," December 31, 2020",,,,,AMNCB,2021,5
False, AMNC, | Class A voting common stock, 03153A106, $.001," 82,000,000 "," December 31, 2021"," 12,844,839 "," December 31, 2021"," 1,268,025 "," December 31, 2021", 50 ," December 31, 2021",AMNCB,2022,7
True, AMNCB, © Class Bcommon stock, 03153A205, $.001," 500,000,000 "," December 31, 2021"," 12,844,839 "," December 31, 2021",,,,,AMNCB,2022,7
False, AMXX, Common Stock, 577807 100, $0.01 per share," 100,000,000 "," June 30, 2022"," 75,728,174 "," June 30, 2022",," June 30, 2022", 126 ," June 30, 2022",AMXX,2022,1
False, AMXX, Common Stock, 577807 100, $0.01 per share," 100,000,000 "," June 30, 2022"," 75,728,174 "," June 30, 2022",," June 30, 2022", 126 ," June 30, 2022",AMXX,2022,2
False, APLD," / Common Stock, Preferred C shares (660,000)", 038169108, Par. 01," 500,000,000 ", 7/21/2021," 320,417,815  ", 7/21/2021, , 7/21/2021, 130 , 7/21/2021,APLD,2021,1
True,,,,, _ ,," 320,417,815  ",,,,,,APLD,2021,1
False, APLD," / Common Stock, Preferred C shares (660,000)", 038169108, Par. 01," 500,000,000 ", 7/21/2021," 320,417,815  ", 7/21/2021, , 7/21/2021, 130 , 7/21/2021,APLD,2021,2
True,,,,, _ ,," 320,417,815  ",,,,,,APLD,2021,2
False, APLD," / Common Stock, Preferred C shares (660,000)", 038169108, Par. 01," 500,000,000 ", 7/21/2021," 320,417,815  ", 7/21/2021, , 7/21/2021, 130 , 7/21/2021,APLD,2021,3
True,,,,, _ ,," 320,417,815  ",,,,,,APLD,2021,3
False, APLD," / Common Stock, Preferred C shares (660,000)", 038169108, Par. 01," 500,000,000 ", 7/21/2021," 320,417,815  ", 7/21/2021, , 7/21/2021, 130 , 7/21/2021,APLD,2021,4
True,,,,, _ ,," 320,417,815  ",,,,,,APLD,2021,4
False, APTY, | Common Stock, 03834Y 101, $0.0001," 2,750,000,000 "," November 15, 2021"," 2,449,480,426 "," November 15, 2021"," 2,111,124,109 "," November 15, 2021", 62 shareholders ," January 31, 2021",APTY,2021,1
False, APTY, Common Stock, 03834Y 101, $0.0001," 2,750,000,000 "," September 17, 2021"," 2,449,480,426 "," September 17, 2021"," 2,111,124,109 "," September 17, 2021", 62 shareholders ," January 31, 2021",APTY,2021,2
False, APTY, Common Stock, 03834Y 101, $0.0001," 2,750,000,000 "," September 17, 2021"," 2,449,480,426 "," September 17, 2021"," 2,111,124,109 "," September 17, 2021", 62 shareholders ," January 31, 2021",APTY,2021,3
False, APWL, | Common Stock, 007623101, 0.001," 300,000,000 ", 12/31/2020," 204,906,412 ", 12/31/2020," 11,685,191 ", 12/31/2020, 121 , 12/31/2020,APWL,2021,1
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 10,000,000 ", 12/31/2020," 204,906,412 ", 12/31/2020,,,,,APWL,2021,1
False, APWL, | Common Stock, 007623101, 0.001," 300,000,000 ", 12/31/2019," 204,906,412 ", 12/31/2019," 11,685,191 ", 12/31/2019, 121 , 12/31/2019,APWL,2021,2
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 10,000,000 ", 12/31/2019," 204,906,412 ", 12/31/2019,,,,,APWL,2021,2
False, APWL, | Common Stock, 007623101, 0.001," 300,000,000 ", 12/31/2021," 204,906,412 ", 12/31/2021," 11,685,191 ", 12/31/2021, 121 , 12/31/2021,APWL,2022,1
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 10,000,000 ", 12/31/2021," 204,906,412 ", 12/31/2021,,,,,APWL,2022,1
False, AQUI, © Common Stock, 03841Q307, $0.0001," 500,000,000 ", 12/31/20," 51,384,380 ", 12/31/20," 604,454 ", 12/31/20, 816 , 12/31/20,AQUI,2021,1
True,,,,, ,," 51,384,380 ",,,,,,AQUI,2021,1
False, AQUI, © Common Stock, 03841Q307, $0.0001," 8,000,000 ", 12/31/19," 1,196,980 ", 12/31/19," 604,454 ", 12/31/19, 810 , 12/31/19,AQUI,2021,3
True,,,,, ,," 1,196,980 ",,,,,,AQUI,2021,3
False, AQUI, © Common Stock, 03841Q307, $0.0001," 500,000,000 ", 12/31/21," 56,684,380 ", 12/31/21," 5,604,454 ", 12/31/21, 820 , 12/31/21,AQUI,2022,1
True,,,,, ,," 56,684,380 ",,,,,,AQUI,2022,1
False, ARVY, Common, 01878N106, .00001," 19,000 ,000,000 "," December 31, 2020"," 215,020,782  "," December 31, 2020"," 8,991,250 "," December 31, 2020", 113 ," December 31, 2020",ARVY,2021,1
True,,,,, ,," 215,020,782  ",,,,,,ARVY,2021,1
False, ARVY, Common, 01878N106, .00001," 19,000 ,000,000 "," February 12, 2020"," 108,020,782 "," December 31, 2019"," 8,991,250 "," December 31, 2019", 113 ," December 31, 2019",ARVY,2021,2
True,,,,, ,," 108,020,782 ",,,,,,ARVY,2021,2
False, ARVY, Common, 01878N106, .00001," 19,000,000,000 "," December 31, 2021"," 1,220,020,782 "," December 31, 2021"," 8,991,250 "," December 31, 2021", 113 ," December 31, 2021",ARVY,2022,1
True,,,,, ,," 1,220,020,782 ",,,,,,ARVY,2022,1
False, ARVY, Common, 01878N106, .00001," 19,000,000,000 "," December 31, 2021"," 1,220,020,782 "," December 31, 2021"," 8,991,250 "," December 31, 2021", 113 ," December 31, 2021",ARVY,2022,2
True, ASTO, Common Stock, 046376109, NA," 7,299,300 "," Oct 31, 2020", 936.770 ," Oct 31, 2020",,,,,ASTO,2021,3
True, ASTO, Common Stock, 046376109, NA," 7,299,300 "," Oct 31, 2020", 936.770 ," Oct 31, 2020",,,,,ASTO,2021,5
False, ATHC, COMMON STOCK, 00436J102, $0.001," 400,000.000 ", 12/31/2020," 11,691,924 ", 12/31/2020," 11,691,924 ", 12/31/2020, 457 , 12/31/2020,ATHC,2021,1
True, N/A, N/A, N/A Par or stated value: N/A, N/A, N/A , N/A Total shares outstanding:," 11,691,924 ", N/A,,,,,ATHC,2021,1
False, ATHC, COMMON STOCK, 00436J102, $0.001," 400,000.000 ", 12/31/2019," 11,691,924 ", 12/31/2019," 11,691,924 ", 12/31/2019, 457 , 12/31/2019,ATHC,2021,2
True, N/A, N/A, N/A Par or stated value: N/A, N/A, N/A , N/A Total shares outstanding:," 11,691,924 ", N/A,,,,,ATHC,2021,2
False, ATHC, COMMON STOCK, 436J102, $0.001, 400.000.0000 , 12/31/2021," 11.691,924 ", 12/31/2021," 11,691,924 ", 12/31/2021, 456 , 12/31/2021,ATHC,2022,1
True, N/A,,,, ,," 11.691,924 ",,,,,,ATHC,2022,1
False, ATIG, Common Stock, 04914U100, 0.001," 15,000,000,000 "," September 7, 2021"," 14,905,559,295 "," September 7, 2021"," 1,208,184,454 "," September 7, 2021", 256 ," September 7, 2021",ATIG,2021,1
False, ATIG, Common Stock, 04914U100, 0.001," 15,000,000,000 "," September 7, 2021"," 14,905,559,295 "," September 7, 2021"," 1,208,184,454 "," September 7, 2021", 256 ," September 7, 2021",ATIG,2021,3
False, ATIG, Common Stock, 04914U100, 0.001," 15,000,000,000 "," September 7, 2021"," 14,905,559,295 "," September 7, 2021"," 1,208,184,454 "," September 7, 2021", 256 ," September 7, 2021",ATIG,2021,4
False, ATIG, - Common Stock, 04914U100, 0.001," 15,000,000,000 "," April 12, 2022"," 14,905,559,295 "," April 12, 2022"," 1,208,184,454 "," April 12, 2022", 256 ," April 12, 2022",ATIG,2022,1
False, ATIG, - Common Stock, 04914U100, 0.001," 15,000,000,000 "," April 4, 2022"," 14,905,559,295 "," April 4, 2022"," 1,208,184,454 "," April 4, 2022", 256 ," April 4, 2022",ATIG,2022,2
False, ATIG, - Common Stock, 04914U100, 0.001," 15,000,000,000 "," March 29, 2022"," 14,905,559,295 "," March 29, 2022"," 1,208,184,454 "," March 29, 2022", 256 ," March 29, 2022",ATIG,2022,3
False, ATOR, COMMON STOCK CLASS A, 00213J101, $0.001," 200,000,000 ", 12/31/2020," 54,775,000 ", 12/31/2020," 150,000 ", 12/31/2020, 13 , 12/31/2020,ATOR,2021,1
False, ATOR, COMMON STOCK CLASS A, 00213J101, $0.001," 200,000,000 ", 12/31/2019," 53,775,000 ", 12/31/2019," 150,000 ", 12/31/2019, 13 , 12/31/2019,ATOR,2021,2
False, ATOR, COMMON STOCK CLASS A, 00213J101, $0.001," 200,000,000 ", 12/31/2021," 42,143,750 ", 12/31/2021," 150,000 ", 12/31/2021, 25 , 12/31/2021,ATOR,2022,1
False, AVOA, | Membership Units, 053843, No Par," 8,305 "," December 31, 2021"," 8,058 "," December 31, 2021"," 4,977 "," December 31, 2021", 103 ," January 24, 2022",AVOA,2022,1
False, AVOA, | Membership Units, 053843, No Par," 8,305 "," December 31, 2022"," 8,058 "," December 31, 2022"," 4,977 "," December 31, 2022", 99 ," January 23, 2023",AVOA,2023,2
False, AWON (OTC Pink), Common, 03740J107, 001," 750,000,000 "," December 31, 2020"," 412,226,498 "," December 31, 2020"," 113,911,484 "," December 31, 2020", 411 ," December 31, 2020",AWON,2021,2
False, AWON (OTC Pink), _ Common, 03740J107, .001," 750,000,000 "," December 31, 2021"," 412,226,498  "," December 31, 2021"," 113,911,484 "," December 31, 2021", 414 ," December 31, 2021",AWON,2022,1
False, AWON, Common, 03740J107, $0.001," 750,000,000 "," December 31, 2022"," 412,226 498 "," December 31, 2022"," 113,911,484 "," December 31, 2022", 111 ," December 31, 2022",AWON,2023,2
False, AWON (OTC Pink), Common, 03740J107, 001," 750,000,000 "," December 31, 2022"," 412,226,498 "," December 31, 2022"," 113,911,484 "," December 31, 2022", 411 ," December 31, 2022",AWON,2023,3
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 100,000,000 "," September 30, 2021"," 42,337,596 "," September 30, 2021"," 6,080,940 "," September 30, 2021", 644 ," September 30, 2021",AYAG,2021,1
True,,,,, ,," 42,337,596 ",,,,,,AYAG,2021,1
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 100,000,000 "," September 30, 2020"," 41,737,273 "," September 30, 2020"," 6,080,940 "," September 30, 2020", 644 ," September 30, 2020",AYAG,2021,2
True,,,,, ,," 41,737,273 ",,,,,,AYAG,2021,2
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," September 30, 2019"," 15,918,940 "," September 30, 2019"," 6,080,940 "," September 30, 2019", 644 ," September 30, 2019",AYAG,2021,3
True,,,,, ,," 15,918,940 ",,,,,,AYAG,2021,3
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 100,000,000 "," September 30, 2020"," 41,737,273 "," September 30, 2020"," 6,080,940 "," September 30, 2020", 644 ," September 30, 2020",AYAG,2021,4
True,,,,, ,," 41,737,273 ",,,,,,AYAG,2021,4
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," September 30, 2019"," 15,918,940 "," September 30, 2019"," 6,080,940 "," September 30, 2019", 644 ," September 30, 2019",AYAG,2021,5
True,,,,, ,," 15,918,940 ",,,,,,AYAG,2021,5
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," September 30, 2018"," 15,918,940 "," September 30, 2018"," 6,080,940 "," September 30, 2018", 644 ," September 30, 2018",AYAG,2021,6
True,,,,, ,," 15,918,940 ",,,,,,AYAG,2021,6
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," September 8, 2021"," 42,337,596 "," September 8, 2021"," 6,080,940 "," September 8, 2021", 644 ," September 8, 2021",AYAG,2021,7
True,,,,, ,," 42,337,596 ",,,,,,AYAG,2021,7
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," September 8, 2021"," 42,337,596 "," September 8, 2021"," 6,080,940 "," September 8, 2021", 644 ," September 8, 2021",AYAG,2021,8
True,,,,, ,," 42,337,596 ",,,,,,AYAG,2021,8
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," September 8, 2021"," 42,337,596 "," September 8, 2021"," 6,080,940 "," September 8, 2021", 644 ," September 8, 2021",AYAG,2021,9
True,,,,, ,," 42,337,596 ",,,,,,AYAG,2021,9
False, AYAG, Common Stock, 02314U100, $0.0001 per share," 200,000,000 "," December 26, 2022"," 42,337,596 "," December 26, 2022"," 6,080,940 "," December 26, 2022", 644 ," December 26, 2022",AYAG,2022,1
True,,,,, ,," 42,337,596 ",,,,,,AYAG,2022,1
False, BANI, Common, 06652L408, .0O00001," 49,830,000,000 ", 12/31/2021,, 12/31/2021,, 12/31/2021,, 12/31/2021,BANI,2022,2
False, BBLC, Common Stock, 09369F 102, 0.0001," 21,000,000,000 "," September 27, 2021"," 17,406,000 "," December 31, 2019"," 16,358,190 "," December 31, 2019", 87 ," December 31, 2019",BBLC,2021,6
False, BBLC, Common Stock, 09369F102, $0.0001," 21,000,000,000 "," September 16, 202"," 17,560,564 "," December 31, 2019"," 16,358,190 "," December 31, 2019", 87 ," December 31, 2019",BBLC,2021,8
True,,,,, ,," 17,560,564 ",,,,,,BBLC,2021,8
False, BBLC, Common Stock, 09369F 102, $0.0001," 21,000,000,000 "," December 31, 2021 and October 25, 2022"," 17,406,000 "," December 31, 2021 and October 25, 2022"," 16,358,190 "," December 31, 2021 and October 25, 2022", 48 ," December 31, 2021 and October 25, 2022",BBLC,2022,1
True, NONE — NO PUBLIC MARKET, Preferred Class A, NONE, $0.0001," 100,000,000 "," February 16, 2010"," 17,406,000 "," December 31, 2021 and October 25, 2022",,,,,BBLC,2022,1
True, NONE — NO PUBLIC MARKET, Preferred Class B, NONE, $0.0001," 10,000,000 "," October 9, 2009"," 17,406,000 "," December 31, 2021 and October 25, 2022",,,,,BBLC,2022,1
True, NONE — NO PUBLIC MARKET, Preferred Class C, NONE, 0.0001," 20,000,000 "," April 27, 2017, and August 2021"," 17,406,000 "," December 31, 2021 and October 25, 2022",,,,,BBLC,2022,1
False, BBLC, Common Stock, 09369F 102, 0.0001," 21,000,000,000 "," December 31, 2021"," 17,406,000 "," December 31, 2021"," 16,358,190 "," December 31, 2021", 48 ," December 31, 2021",BBLC,2022,4
False, BBLC, Common Stock, 09369F 102, 0.0001," 21,000,000,000 "," December 31, 2021"," 17,406,000 "," December 31, 2021"," 16,358,190 "," December 31, 2021", 48 ," December 31, 2021",BBLC,2022,5
False, BBLC, Common Stock, 09369F 102, 0.0001," 21,000,000,000 "," December 31, 2021"," 17,406,000 "," December 31, 2021"," 16,358,190 "," December 31, 2021", 48 ," December 31, 2021",BBLC,2022,6
False, BCDS, COMMON, 093418101, 0.001," 675,000,000 "," December 31, 2021"," 10,278,272 "," December 31, 2021"," 2,561,349 "," December 31, 2021", 69 ," December 31, 2021",BCDS,2022,1
True, BCDS, PREFERRED, 093418101, 0.001," 5,000,000 "," December 31, 2021"," 10,278,272 "," December 31, 2021",,,,,BCDS,2022,1
False, BCDS, COMMON, 093418101, 0.001," 675,000,000 "," December 31, 2020"," 10,278,272 "," December 31, 2020"," 2,561,349 "," December 31, 2020", 69 ," December 31, 2020",BCDS,2022,2
True, BCDS, PREFERRED, 093418101, 0.001," 5,000,000 "," December 31, 2020"," 10,278,272 "," December 31, 2020",,,,,BCDS,2022,2
False,,,,,," April 30, 2022",," April 30, 2022",," April 30, 2022",," April 30, 2022",BCII,2022,1
False,,,,,," April 30, 2022",," April 30, 2022",," April 30, 2022",," April 30, 2022",BCII,2022,2
False, BCND, - Common Shares:, 07367T306, $.00001,," August 6, 2021",," August 6, 2021"," 194,914,911 "," August 6, 2021", 131 ," August 6, 2021",BCND,2021,1
True, n/a, n/a, n/a, n/a, ,,,,,,,,BCND,2021,1
False, BCND, - Common Shares:, 07367T306, $.00001,," August 6, 2021",," August 6, 2021"," 194,914,911 "," August 6, 2021", 131 ," August 6, 2021",BCND,2021,2
True, n/a, n/a, n/a, n/a, ,,,,,,,,BCND,2021,2
False, BCND, - Common Shares:, 07367T306, $.00001,," August 6, 2021",," August 6, 2021"," 194,914,911 "," August 6, 2021", 131 ," August 6, 2021",BCND,2021,3
True, n/a, n/a, n/a, n/a, ,,,,,,,,BCND,2021,3
False, BCND, - Common Shares:, 07367T306, $.00001,," August 6, 2021",," August 6, 2021"," 194,914,911 "," August 6, 2021", 131 ," August 6, 2021",BCND,2021,4
True, n/a, n/a, n/a, n/a, ,,,,,,,,BCND,2021,4
False, BDCM, Common, 11132C200, $0.001," 500,000,000 ", 12/31/2020," 69,966,828 ", 12/31/2020," 9,200,043 ", 12/31/2020, 60 , 12/31/2020,BDCM,2021,1
True, NA, Preferred, NA, $0.00, 0 , 12/31/2020," 69,966,828 ", 12/31/2020,,,,,BDCM,2021,1
True, NA, Preferred, NA, $0.00, 0 , 12/31/2020," 69,966,828 ", 12/31/2020,,,,,BDCM,2021,1
False, BDCM, - Common, 11132C200, $0.001," 500,000,000 ", 12/31/2019," 69,966,828 ", 12/31/2019," 9,200,043 ", 12/31/2019, 60 , 12/31/2019,BDCM,2021,2
True, NA, Preferred, NA, $0.00, 0 , 12/31/2019," 69,966,828 ", 12/31/2019,,,,,BDCM,2021,2
True, NA, Preferred, NA, $0.00, 0 , 12/31/2019," 69,966,828 ", 12/31/2019,,,,,BDCM,2021,2
False,,,,,, 12/31/2021,, 12/31/2021,, 12/31/2021,, 12/31/2021,BDCM,2022,1
False,,,,,, 03/31/2022,, 03/31/2022,, 03/31/2022,, 03/31/2022,BDCM,2022,2
False,,,,,, 12/31/2022,, 12/31/2022,, 12/31/2022,, 12/31/2022,BDCM,2023,1
False,,,,,, 12/31/2022,, 12/31/2022,, 12/31/2022,, 12/31/2022,BDCM,2023,2
