Agent Name,Phone,Email,Address,ID,Submission Year,Submission Year File Number,file,Link
 Issuer Direct Corporation,9197442722,Dominick.DalPizzol@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",AHFI,2022,1,AHFI_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/316911/content
 Issuer Direct Corporation,9197442722,info@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",ALSI,2022,1,ALSI_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/336471/content
" VStock Transfer, LLC",(212)8288436,pasquale@vstocktransfer.com," 18 Lafayette Place, Woodmere, New York 11598",ALTB,2023,1,ALTB_2023_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/360891/content
" VStock Transfer, LLC",(212)8288436,pasquale@vstocktransfer.com," 18 Lafayette Place, Woodmere, New York 11598",ALTB,2023,2,ALTB_2023_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/360890/content
 VStock Transfer LLC,212.828.8436,info@vstocktransfer.com," 18 Lafayette Pl, Woodmere, NY 11598",AMBS,2021,1,AMBS_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/309849/content
 VStock Transfer LLC,212.828.8436,info@vstocktransfer.com," 18 Lafayette Pl, Woodmere, NY 11598",AMBS,2021,2,AMBS_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/309182/content
 VStock Transfer LLC,212.828.8436,info@vstocktransfer.com," 18 Lafayette Pl, Woodmere, NY 11598",AMBS,2021,3,AMBS_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/307804/content
 Pacific Stock Transfer Company,8007857782,info@pacificstocktrannsfer.com," 6725 Via Austi Pkwy, #300, Las Vegas, NV 89119",AMCY,2021,2,AMCY_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302316/content
" Worldwide Stock Transfer, LLC",2018202010,info@wwstr.com," One University Plaza, Suite 505, Hackensack, NJ 07601",AMFL,2022,1,AMFL_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/355241/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,1,AMXX_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/315742/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,2,AMXX_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/312620/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,3,AMXX_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/305326/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,4,AMXX_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/305323/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12 Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,7,AMXX_2021_Annual_7.txt,https://www.otcmarkets.com/otcapi/company/financial-report/303839/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,8,AMXX_2021_Annual_8.txt,https://www.otcmarkets.com/otcapi/company/financial-report/303809/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,9,AMXX_2021_Annual_9.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300690/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,11,AMXX_2021_Annual_11.txt,https://www.otcmarkets.com/otcapi/company/financial-report/295559/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2021,12,AMXX_2021_Annual_12.txt,https://www.otcmarkets.com/otcapi/company/financial-report/294454/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2022,1,AMXX_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/346392/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12"" Floor, Salt Lake City, Utah, 84133-3196",AMXX,2022,2,AMXX_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/341540/content
 ZIONS BANK,8884165176,Lucinda.wagstaff@zionsbank.com," 1 South Main St. 12“ Floor, Salt Lake City, Utah, 84133-3196",AMXX,2022,3,AMXX_2022_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/341103/content
 Pacific Stock Transfer,8007857782,info@pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,1,APLD_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/311686/content
 Pacific Stock Transfer,8007857782,info@pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,2,APLD_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/309557/content
 Pacific Stock Transfer,8007857782,info@pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,3,APLD_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/307699/content
 Pacific Stock Transfer,8007857782,info@pacificstocktransfer.com," 6725 Via Austi Pkwy, Las Vegas, NV 89119",APLD,2021,4,APLD_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301644/content
 Pacific Stock Transfer Agent,(800)7857782,info@pacificstocktransfer.com, 6725 Via Austi Parkway,APTY,2021,1,APTY_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/311797/content
 Pacific Stock Transfer Agent,(800)7857782,info@pacificstocktransfer.com, 6725 Via Austi Parkway,APTY,2021,2,APTY_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/306339/content
 Pacific Stock Transfer Agent,(800)7857782,info@pacificstocktransfer.com, 6725 Via Austi Parkway,APTY,2021,3,APTY_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302830/content
" Pacific Stock Transfer, Inc.",7023613033,info@pacificstocktransfer.com, 6725 Via Austi Parkway,AQUI,2021,1,AQUI_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301339/content
" Pacific Stock Transfer, Inc.",7023613033,info@pacificstocktransfer.com, 6725 Via Austi Parkway,AQUI,2021,3,AQUI_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298647/content
" Pacific Stock Transfer, Inc.",7023613033,info@pacificstocktransfer.com, 6725 Via Austi Parkway,AQUI,2022,1,AQUI_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325540/content
 Pacific Stock Transfer,17023613033,Paulacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2021,1,ARVY_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301008/content
 Pacific Stock Transfer,17023613033,Paulacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2021,2,ARVY_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301002/content
 Pacific Stock Transfer,17023613033,DanielleC@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2022,1,ARVY_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/323887/content
 Pacific Stock Transfer,17023613033,DanielleC@pacificstocktransfer.com," 6725 Via Austi Parkway, Suite 300, Las Vegas, NV 89119",ARVY,2022,2,ARVY_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/322188/content
 American Stock Transfer,8009375449,astfinancial.com, 6201 15% Ave.,ASTO,2021,3,ASTO_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/293091/content
 American Stock Transfer,8009375449,astfinancial.com, 6201 15% Ave.,ASTO,2021,5,ASTO_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/293089/content
 Pacific Stock Transfer Company,8007857782,bmiller@pacificstocktransfer.com,"__6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",ATHC,2021,1,ATHC_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298238/content
 Pacific Stock Transfer Company,8007857782,bmiller@pacificstocktransfer.com,"__6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",ATHC,2021,2,ATHC_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298237/content
 Pacific Stock Transfer Company,702.361.3033,millerificstocktransfer.com," 404 th nser Street, Las V Nev 119 — Suite 4",ATHC,2022,1,ATHC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/327437/content
 Vstock Transfer,2128288436,kafel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2021,3,ATIG_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/303951/content
 Vstock Transfer,2128288436,kafel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2021,4,ATIG_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/303411/content
" VStock Transfer, LLC",2128288436,yoel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2022,1,ATIG_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/327362/content
" VStock Transfer, LLC",2128288436,yoel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2022,2,ATIG_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/326662/content
" VStock Transfer, LLC",2128288436,yoel@vstocktransfer.com," 18 Lafayette Place, Woodmere, NY 11598",ATIG,2022,3,ATIG_2022_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325342/content
 Transfer Online Inc.,(503)2772950,info@transferonline.com," 512 SE Salmon Street, 2"" floor, Portland OR. 97214-3444",ATOR,2021,1,ATOR_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302682/content
 Transfer Online Inc.,(503)2772950,info@transferonline.com," 512 SE Salmon Street, 2"" floor, Portland OR. 97214-3444",ATOR,2021,2,ATOR_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301732/content
 Transfer Online Inc.,(503)2772950,info@transferonline.com," 512 SE Salmon Street, 2"" floor, Portland OR. 97214-3444",ATOR,2022,1,ATOR_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/322378/content
" American Stock Transfer & Trust Company, LLC",7189218300x6464,CLeibell@astfinancial.com," 6201 15"" Avenue, Brooklyn, NY 11219",AVOA,2022,1,AVOA_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/323758/content
" American Stock Transfer & Trust Company, LLC",7189218300x6464,CLeibell@astfinancial.com," 6201 15' Avenue, Brooklyn, NY 11219",AVOA,2023,2,AVOA_2023_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/358565/content
 Action Stock Transfer Corporation,(801)2741088,info@actionstocktrasnfer.com," 2469 East Fort Union Boulevard, Suite 214",AWON,2021,1,AWON_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301349/content
 Action Stock Transfer Corporation,(801)2741088,info@actionstocktrasnfer.com," 2469 East Fort Union Boulevard, Suite 214",AWON,2021,2,AWON_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298525/content
 Action Stock Transfer Corporation,(801)2741088,info@actionstocktrasnfer.com," 2469 East Fort Union Boulevard, Suite 214",AWON,2022,1,AWON_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/321134/content
 Securities Transfer Corporation,4696330101,info@stctransfer.com," 2901 North Dallas Parkway, Suite 380, Plano, Texas 75093",AWON,2023,2,AWON_2023_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/360350/content
 securities Transfer Corporation,(469)6330101,info@sictransfer.com," 2901 North Dallas Parkway, Suite 380",AWON,2023,3,AWON_2023_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/359718/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,1,AYAG_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/306468/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,2,AYAG_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/306460/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,3,AYAG_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/306459/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,4,AYAG_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304387/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,5,AYAG_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304386/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,6,AYAG_2021_Annual_6.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304385/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,7,AYAG_2021_Annual_7.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301550/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,8,AYAG_2021_Annual_8.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301540/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2021,9,AYAG_2021_Annual_9.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301532/content
 Transhare Corporation,3036621112,kmessinger@Transhare.com," Bayside Center 1, 17755 North US Highway 19, Suite 140, Clearwater, FL 33764",AYAG,2022,1,AYAG_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/356014/content
 Standard Registrar and Transfer Company,8015718844,amy@standardregistrar.com," 440 East 400 South, Suite 200 Salt Lake City, UT 84111",BANI,2022,2,BANI_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330288/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,2,BBLC_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/314714/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,5,BBLC_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304713/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,6,BBLC_2021_Annual_6.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304712/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2021,8,BBLC_2021_Annual_8.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302817/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,1,BBLC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/349561/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,2,BBLC_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/349495/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,4,BBLC_2022_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/332887/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,5,BBLC_2022_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/324725/content
" Signature Stock Transfer, Inc.",9726124120,info@signaturestocktransfer.com," 14673 Midway Rd, Ste 220",BBLC,2022,6,BBLC_2022_Annual_6.txt,https://www.otcmarkets.com/otcapi/company/financial-report/324636/content
 Transhare Corporation,+1(303)6621112,info@transhare.com," Bayside Center 1- 17755 US Highway 19 N, Suite 140. Clearwater FL 33764",BCDS,2022,1,BCDS_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/348690/content
 Transhare Corporation,+1(303)6621112,info@transhare.com," Bayside Center 1- 17755 US Highway 19 N, Suite 140. Clearwater FL 33764",BCDS,2022,2,BCDS_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/348689/content
 Transhare Corporation,+1(303)6621112,info@transhare.com," Bayside Center 1- 17755 US Highway 19 N, Suite 140. Clearwater FL 33764",BCDS,2023,1,BCDS_2023_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/360887/content
" American Stock Transfer & Trust Company, LLC",(800)9375449,help@astfinancial.com, 6201 15° Ave,BCII,2022,1,BCII_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/347681/content
" American Stock Transfer & Trust Company, LLC",(800)9375449,help@astfinancial.com, 6201 15° Ave,BCII,2022,2,BCII_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/346175/content
 Signature Stock Transfer,9726124120,info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2021,1,BDCM_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299688/content
 Signature Stock Transfer,9726124120,info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2021,2,BDCM_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299687/content
 Signature Stock Transfer,9726124120,info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2022,1,BDCM_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/332485/content
 Signature Stock Transfer,9726124120,info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2022,2,BDCM_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/332069/content
 Signature Stock Transfer,9726124120,info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2023,1,BDCM_2023_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/360216/content
 Signature Stock Transfer,9726124120,info@signaturestocktransfer.com, 14673 Midway Road #220,BDCM,2023,2,BDCM_2023_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/359891/content
 Pacific Stock Transfer,(800)7857782,Joslyn@pacificstocktransfer.com," 6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",BFCH,2021,2,BFCH_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299321/content
 Pacific Stock Transfer,(800)7857782,Joslynacificstocktransfer.com," 6725 Via Austi Pkwy, Suite 300, Las Vegas, NV 89119",BFCH,2023,1,BFCH_2023_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/362063/content
 Action Stock Transfer,1)2741,jo@actionstocktransfer.com," 2469 E. Ft. Union Blvd, #214, Salt Lake, City, UT, 84121",BHLD,2021,1,BHLD_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304667/content
 Action Stock Transfer,1)2741,jo@actionstocktransfer.com," 2469 E. Ft. Union Blvd, #214, Salt Lake, City, UT, 84121",BHLD,2021,2,BHLD_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304740/content
